  0%|                                                                                                                                                | 0/1776 [00:00<?, ?it/s]You're using a XLMRobertaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/opt/conda/envs/ptca/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2888: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/utils/checkpoint.py:295: FutureWarning: `torch.cpu.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cpu', args...)` instead.
  with torch.enable_grad(), device_autocast_ctx, torch.cpu.amp.autocast(**ctx.cpu_autocast_kwargs):  # type: ignore[attr-defined]
                                                                                                                                                                              
{'loss': 4.0659, 'grad_norm': 6.845168989950253, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.6689, 'grad_norm': 3.2563748560890744, 'learning_rate': 1.3376613936737559e-05, 'epoch': 0.0}
{'loss': 3.6663, 'grad_norm': 2.7054946303334595, 'learning_rate': 2.1201431476353032e-05, 'epoch': 0.0}
{'loss': 3.6733, 'grad_norm': 3.517920799868921, 'learning_rate': 2.6753227873475117e-05, 'epoch': 0.0}
{'loss': 3.6219, 'grad_norm': 3.7488892499673163, 'learning_rate': 3.105953571417278e-05, 'epoch': 0.0}
{'loss': 3.6128, 'grad_norm': 4.31377933709983, 'learning_rate': 3.4578045413090585e-05, 'epoch': 0.0}
{'loss': 3.5784, 'grad_norm': 3.2484803681804224, 'learning_rate': 3.755290297576453e-05, 'epoch': 0.0}
{'loss': 3.5403, 'grad_norm': 1.694491983313126, 'learning_rate': 4.012984181021267e-05, 'epoch': 0.0}
{'loss': 3.515, 'grad_norm': 1.5623382484635984, 'learning_rate': 4.2402862952706063e-05, 'epoch': 0.01}
{'loss': 3.4798, 'grad_norm': 1.7507801360603816, 'learning_rate': 4.443614965091034e-05, 'epoch': 0.01}
{'loss': 3.4297, 'grad_norm': 1.8062373520563406, 'learning_rate': 4.6275481203054244e-05, 'epoch': 0.01}
{'loss': 3.3657, 'grad_norm': 2.4011077430442964, 'learning_rate': 4.795465934982815e-05, 'epoch': 0.01}
{'loss': 3.3986, 'grad_norm': 2.5401637110178497, 'learning_rate': 4.9499353505743336e-05, 'epoch': 0.01}
{'loss': 3.4197, 'grad_norm': 1.9519262068081213, 'learning_rate': 5.092951691250209e-05, 'epoch': 0.01}
{'loss': 3.3979, 'grad_norm': 1.6870413969440856, 'learning_rate': 5.2260967190525814e-05, 'epoch': 0.01}
{'loss': 3.3181, 'grad_norm': 1.7431757565915522, 'learning_rate': 5.3506455746950235e-05, 'epoch': 0.01}
{'loss': 3.2767, 'grad_norm': 2.0162417628858473, 'learning_rate': 5.467641240816619e-05, 'epoch': 0.01}
{'loss': 3.2489, 'grad_norm': 3.0156427096306415, 'learning_rate': 5.5779476889443614e-05, 'epoch': 0.01}
{'loss': 3.1891, 'grad_norm': 2.645831601199887, 'learning_rate': 5.682288637858039e-05, 'epoch': 0.01}
{'loss': 3.2658, 'grad_norm': 2.592359514835181, 'learning_rate': 5.78127635876479e-05, 'epoch': 0.01}
{'loss': 3.2613, 'grad_norm': 2.1934686159697807, 'learning_rate': 5.8754334452117565e-05, 'epoch': 0.01}
{'loss': 3.2526, 'grad_norm': 2.4525565685471618, 'learning_rate': 5.965209513979181e-05, 'epoch': 0.01}
{'loss': 3.2697, 'grad_norm': 2.6285459999963248, 'learning_rate': 6.050994190508805e-05, 'epoch': 0.01}
{'loss': 3.2064, 'grad_norm': 2.451653008525604, 'learning_rate': 6.13312732865657e-05, 'epoch': 0.01}
{'loss': 3.2323, 'grad_norm': 2.7762229149333235, 'learning_rate': 6.211907142834556e-05, 'epoch': 0.01}
{'loss': 3.094, 'grad_norm': 2.9392730556348545, 'learning_rate': 6.28759674424809e-05, 'epoch': 0.01}
{'loss': 3.1558, 'grad_norm': 3.498096902341527, 'learning_rate': 6.360429442905909e-05, 'epoch': 0.02}
{'loss': 3.0819, 'grad_norm': 2.8912339677378536, 'learning_rate': 6.430613084923964e-05, 'epoch': 0.02}
{'loss': 3.1692, 'grad_norm': 2.7654536134881185, 'learning_rate': 6.498333628382968e-05, 'epoch': 0.02}
{'loss': 3.2172, 'grad_norm': 2.2924342401655493, 'learning_rate': 6.563758112726337e-05, 'epoch': 0.02}
{'loss': 3.2203, 'grad_norm': 2.1813867433199197, 'learning_rate': 6.627037141085487e-05, 'epoch': 0.02}
{'loss': 3.2533, 'grad_norm': 1.9066863264168468, 'learning_rate': 6.688306968368779e-05, 'epoch': 0.02}
{'loss': 3.2214, 'grad_norm': 1.8777241944048375, 'learning_rate': 6.747691267940727e-05, 'epoch': 0.02}
{'loss': 3.1865, 'grad_norm': 1.7553327235244829, 'learning_rate': 6.805302634490375e-05, 'epoch': 0.02}
{'loss': 3.2328, 'grad_norm': 2.3926060266230236, 'learning_rate': 6.861243868993731e-05, 'epoch': 0.02}
{'loss': 3.2484, 'grad_norm': 2.4312009360258577, 'learning_rate': 6.915609082618117e-05, 'epoch': 0.02}
{'loss': 3.1964, 'grad_norm': 1.9660992412646583, 'learning_rate': 6.96848464934566e-05, 'epoch': 0.02}
{'loss': 3.1635, 'grad_norm': 2.322062747393367, 'learning_rate': 7.019950031531794e-05, 'epoch': 0.02}
{'loss': 3.1861, 'grad_norm': 1.9620857068745023, 'learning_rate': 7.070078498209637e-05, 'epoch': 0.02}
{'loss': 3.1577, 'grad_norm': 2.300916683958229, 'learning_rate': 7.118937752438546e-05, 'epoch': 0.02}
{'loss': 3.1644, 'grad_norm': 1.8404790020537405, 'learning_rate': 7.166590481177051e-05, 'epoch': 0.02}
{'loss': 3.1929, 'grad_norm': 1.9387771949852939, 'learning_rate': 7.213094838885512e-05, 'epoch': 0.02}
{'loss': 3.2154, 'grad_norm': 1.764525890053388, 'learning_rate': 7.25850487421759e-05, 'epoch': 0.02}
{'loss': 3.1597, 'grad_norm': 1.8454494725878121, 'learning_rate': 7.302870907652935e-05, 'epoch': 0.02}
{'loss': 3.2468, 'grad_norm': 2.1881606058178242, 'learning_rate': 7.346239866687884e-05, 'epoch': 0.03}
{'loss': 3.0963, 'grad_norm': 2.220629903077699, 'learning_rate': 7.388655584182561e-05, 'epoch': 0.03}
{'loss': 3.0857, 'grad_norm': 2.3528594942500534, 'learning_rate': 7.430159064619815e-05, 'epoch': 0.03}
{'loss': 3.1081, 'grad_norm': 2.497870205618665, 'learning_rate': 7.470788722330328e-05, 'epoch': 0.03}
{'loss': 3.1073, 'grad_norm': 2.6883521392441985, 'learning_rate': 7.510580595152906e-05, 'epoch': 0.03}
{'loss': 3.1409, 'grad_norm': 2.879514384124328, 'learning_rate': 7.549568536508311e-05, 'epoch': 0.03}
{'loss': 3.0472, 'grad_norm': 2.1639346969820354, 'learning_rate': 7.587784388451922e-05, 'epoch': 0.03}
{'loss': 3.1209, 'grad_norm': 2.3097432174640837, 'learning_rate': 7.625258137921846e-05, 'epoch': 0.03}
{'loss': 3.1403, 'grad_norm': 2.9000392713847396, 'learning_rate': 7.662018058103422e-05, 'epoch': 0.03}
{'loss': 3.1024, 'grad_norm': 2.0889477671899437, 'learning_rate': 7.698090836579666e-05, 'epoch': 0.03}
{'loss': 3.116, 'grad_norm': 2.046601022336524, 'learning_rate': 7.733501691722702e-05, 'epoch': 0.03}
{'loss': 3.1269, 'grad_norm': 1.8898714944254529, 'learning_rate': 7.768274478597721e-05, 'epoch': 0.03}
{'loss': 3.1646, 'grad_norm': 2.1016079922541904, 'learning_rate': 7.802431785493342e-05, 'epoch': 0.03}
{'loss': 3.1923, 'grad_norm': 1.7990631049444903, 'learning_rate': 7.835995022056723e-05, 'epoch': 0.03}
{'loss': 3.1731, 'grad_norm': 1.938237080806885, 'learning_rate': 7.868984499894594e-05, 'epoch': 0.03}
{'loss': 3.1331, 'grad_norm': 2.048078576249502, 'learning_rate': 7.901419506400092e-05, 'epoch': 0.03}
{'loss': 3.1352, 'grad_norm': 3.258455720702194, 'learning_rate': 7.933318372477351e-05, 'epoch': 0.03}
